beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,sigma_manual,sigma_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
2.00334,2.03893,0.01182,0.04067,0.50281,0.47240,0.01166,0.01053,0.00553,0.00998,-0.00234,0.00146,-0.00130,-0.01901,-0.00175,-0.04280,-0.01113,0.00523,0.05068,0.01507,-0.01855,0.06355,-0.03562,0.02978,-0.10540,-0.02074
2.03708,2.03689,0.02414,0.08351,0.49796,0.48345,0.03420,0.02148,0.00348,0.03854,0.00759,0.01134,-0.02224,-0.00623,-0.02728,-0.05327,0.06775,-0.00664,0.02786,-0.00643,-0.02412,0.08234,-0.05220,-0.04527,-0.13010,0.01069
2.01500,2.03395,0.02999,0.09406,0.49818,0.48543,0.04828,0.03474,0.00125,0.05132,0.01837,0.00601,-0.04305,0.00500,-0.03050,-0.06218,0.06455,-0.01124,0.03442,-0.03021,-0.01643,0.10803,-0.07105,-0.01986,-0.15503,-0.06076
1.97979,2.01681,0.02009,0.04219,0.48375,0.45564,0.03055,-0.00869,0.00284,-0.04397,-0.02279,-0.02839,0.01670,0.00518,-0.01674,-0.07180,-0.02469,0.04707,0.03872,0.02084,-0.05595,-0.01769,-0.05291,0.04210,-0.03488,0.06478
2.01530,1.99084,0.01682,0.03342,0.49446,0.47961,-0.02615,-0.01450,0.00989,0.02750,0.00690,0.00033,-0.02161,0.00306,0.01872,0.03340,0.05350,0.04121,0.07573,0.01383,-0.01527,-0.01752,0.03492,-0.02894,-0.06253,-0.02174
1.98447,2.03343,0.00406,0.06281,0.46470,0.46353,0.00571,-0.00577,-0.00085,-0.00640,0.00276,0.00182,0.00202,0.00251,-0.08946,-0.18641,-0.00036,0.05489,0.03026,0.09879,-0.04053,0.06607,-0.03248,-0.05302,-0.03877,0.05838
2.01145,2.01765,0.01102,0.05367,0.46749,0.47367,0.00600,0.00487,-0.01200,-0.01543,0.00626,-0.00762,-0.02815,0.00139,-0.04049,-0.10003,0.02775,-0.00042,0.07727,-0.00968,-0.07755,0.04784,-0.05919,-0.02268,-0.01605,0.01936
2.00662,2.01796,0.00375,0.10523,0.49903,0.47805,-0.00543,0.00108,0.00610,-0.00390,-0.00140,-0.00724,0.00219,-0.00178,0.03129,-0.05132,0.04769,0.08764,0.03763,0.16212,0.08258,0.13561,-0.02972,-0.04886,-0.16332,0.00631
2.01136,2.03442,0.00496,0.10936,0.49562,0.47073,-0.00844,0.00206,0.00453,-0.00381,-0.00080,-0.00858,0.00098,-0.00201,0.04231,-0.12058,0.06803,0.06982,0.05325,0.13398,0.02952,0.12104,-0.04423,-0.01821,-0.12110,0.07447
2.00368,2.00792,0.01168,0.05431,0.51966,0.46144,0.01112,-0.00644,-0.00559,0.00064,0.01452,0.02085,0.02087,-0.00555,-0.04962,-0.09508,0.04188,0.06113,0.11927,0.04650,-0.00781,-0.00430,0.03563,0.00284,-0.08885,0.03901
1.98007,1.99068,0.01243,0.02972,0.51353,0.46307,-0.00132,-0.01003,-0.00858,-0.01557,-0.00740,0.00840,0.02347,0.00534,-0.00500,-0.04124,0.03694,0.01431,0.06743,0.06394,-0.01700,0.00786,0.00778,0.00547,-0.00980,0.00583
2.01792,2.01723,0.02588,0.04736,0.50970,0.46268,0.02711,-0.01471,-0.02261,0.02079,0.01260,-0.01641,-0.00033,-0.02152,-0.01351,-0.00059,0.00019,0.00448,0.05905,0.01609,0.01488,0.03659,-0.00228,-0.03737,-0.04821,0.06809
1.99606,1.97979,0.03091,0.13412,0.46947,0.47330,0.02310,-0.01888,0.01542,-0.06849,-0.03712,-0.03072,-0.06393,0.02476,0.07848,-0.17266,0.10394,0.09563,0.06231,0.12649,-0.15183,0.13709,0.03682,0.01812,-0.03323,0.00341
2.01905,2.03827,0.04760,0.06084,0.49522,0.46735,0.04351,-0.00079,0.04142,0.04916,0.00021,-0.06603,0.01370,-0.01624,-0.01994,0.00148,0.00421,-0.00669,0.03675,0.00990,0.01074,0.01024,0.01336,-0.04179,-0.08733,0.06518
1.98393,2.03831,0.02025,0.10456,0.45820,0.47585,-0.00803,0.01774,-0.01497,0.00635,-0.01660,0.00765,-0.02997,-0.01773,-0.00583,-0.19306,0.06492,0.04685,0.02536,0.08857,-0.17524,0.08056,-0.07948,-0.04638,-0.11729,0.11026
1.97990,2.02278,0.00355,0.05484,0.48386,0.47580,0.00136,0.00220,0.00010,-0.00204,-0.00183,0.00385,-0.00026,-0.00860,-0.01759,-0.03460,-0.00129,-0.00427,0.05811,0.09445,-0.06131,0.01274,-0.02336,-0.02630,-0.02937,0.04646
1.99445,2.04582,0.00243,0.05182,0.50561,0.46559,-0.00032,-0.00421,-0.00222,-0.00120,-0.00166,0.00175,0.00113,-0.00224,-0.01959,-0.03887,0.01942,-0.03037,0.04293,0.03133,-0.06824,0.10582,-0.08408,-0.02981,-0.04596,0.12393
2.05714,2.04741,0.00302,0.06903,0.47532,0.46229,0.00057,-0.00134,-0.00085,-0.00395,0.00082,-0.00328,-0.00128,0.00132,-0.04767,-0.12045,0.01721,-0.00986,0.03843,-0.00761,-0.16135,0.07226,0.02372,-0.00868,-0.07609,0.08589
