beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,phi_manual,phi_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
-0.14581,-0.14803,0.08576,0.08612,13.84890,14.56715,0.11120,0.07173,0.02553,-0.12018,-0.10167,0.00502,0.00593,0.28318,0.07009,0.01752,0.00462,-0.06637,-0.03240,0.01238,0.11889,0.13024,0.10870,0.23419,0.09036,-0.03504
-0.07998,-0.12094,0.08814,0.09549,13.67290,13.98423,0.12741,0.11717,-0.00477,-0.16156,-0.07701,0.00158,0.09270,0.24998,0.10011,0.01113,0.03860,-0.11505,-0.07500,0.11726,0.08694,0.02845,0.07189,0.19789,0.14611,0.01167
-0.11066,-0.12474,0.06479,0.06565,13.33366,14.52148,0.09613,0.01704,-0.01241,-0.15949,-0.03657,0.01270,0.00695,0.17878,0.09467,-0.02326,0.04456,-0.05518,-0.08001,0.07223,0.03588,0.06109,0.08639,0.10419,0.06572,0.05158
-0.03477,-0.11009,0.07590,0.05529,13.24767,15.06162,0.06304,-0.03628,-0.00170,-0.21991,-0.03203,0.05176,0.05150,0.19958,0.01591,-0.01860,0.03376,-0.01924,-0.10084,0.02929,0.01324,0.02416,0.04196,0.08971,0.05852,0.03486
0.07010,-0.04992,0.08488,0.11855,15.87256,15.28791,-0.03357,0.03652,-0.18684,-0.02853,-0.12152,-0.05542,0.06805,-0.07594,-0.00282,-0.06586,-0.04081,-0.03452,-0.16405,0.00659,0.13059,0.09350,0.14348,0.08381,-0.02618,-0.12470
-0.00816,-0.04680,0.08863,0.14921,13.90586,15.28670,-0.04772,-0.01962,-0.21813,-0.00543,-0.21706,-0.02081,0.03766,0.00276,-0.13954,-0.02388,-0.00323,-0.21715,-0.11573,-0.12116,-0.00067,-0.04598,0.18840,0.19488,-0.06060,-0.19173
-0.20992,-0.08330,0.22901,0.07693,16.72827,14.59421,0.23660,0.35845,0.03454,-0.26857,0.03431,0.60586,0.27003,0.34726,0.08588,-0.06219,-0.02702,-0.04194,-0.12679,0.04649,-0.01471,0.03112,0.02354,0.12015,0.04805,0.00256
-0.10881,-0.07722,0.09614,0.09397,16.60012,13.89231,0.07353,0.08567,0.01150,-0.00743,-0.00695,0.25514,0.22096,0.22642,0.14581,-0.08424,0.01934,-0.08344,-0.13396,0.07308,-0.01652,0.11004,0.02573,0.10138,0.07466,-0.01112
-0.16442,-0.08157,0.10212,0.08966,16.56415,14.33160,0.13313,0.12542,-0.01328,-0.04310,-0.00442,0.31665,0.25149,0.26251,0.04632,-0.02342,0.04560,-0.10811,-0.12554,0.05172,-0.06515,0.06821,0.04711,0.12974,0.01068,-0.03778
-0.28665,-0.14068,0.23723,0.19335,13.81076,15.80348,0.29386,0.04322,0.03553,0.02585,0.12836,-0.17326,0.34144,0.35408,0.07791,0.01329,0.11587,0.00695,-0.05469,0.06993,0.30865,0.03768,0.21476,0.25184,0.01748,-0.06750
-0.08921,-0.07808,0.24322,0.10440,15.82461,14.34457,0.13639,0.05539,-0.15544,0.09491,-0.00077,0.21330,0.16508,0.20161,0.05705,0.03672,0.05559,-0.11539,-0.11224,-0.03795,-0.00855,0.06531,0.06525,0.12571,-0.02744,-0.06634
-0.09680,-0.06404,0.11174,0.09621,14.48706,15.58251,0.07703,-0.09397,0.02103,-0.07254,-0.03689,-0.04276,0.17466,0.05722,0.01647,-0.09405,-0.08924,-0.10369,-0.12535,-0.02120,0.05688,-0.01955,0.11450,0.16936,0.03255,-0.09928
-0.04453,0.06775,0.16477,0.14537,15.27924,14.48301,0.03764,0.15083,-0.29423,-0.18066,-0.14821,0.07586,0.08271,0.17115,-0.13906,-0.14003,-0.12707,-0.24308,-0.25580,-0.20667,-0.00055,-0.02267,0.03423,0.08976,-0.22029,0.00916
-0.03551,-0.02780,0.16458,0.10623,15.18245,15.61728,0.05714,0.04172,-0.11523,-0.21345,-0.11718,-0.06660,0.22223,0.12160,0.05152,-0.13028,-0.06376,-0.13232,-0.17397,-0.01488,-0.04077,0.01890,0.07914,0.09030,0.04062,-0.02491
-0.08574,-0.10708,0.15978,0.15066,15.33737,14.32961,0.12860,-0.03642,-0.16979,-0.09477,-0.08910,-0.23570,0.17925,0.25230,-0.04932,0.04219,-0.05122,-0.11013,-0.08881,0.01922,0.21878,0.02092,0.08199,0.23561,-0.01091,-0.13871
-0.03930,-0.08371,0.11375,0.11413,13.89103,14.95798,0.08108,-0.02868,-0.08084,-0.01270,-0.01915,-0.07103,0.09450,0.16246,0.03302,-0.00976,0.05541,-0.06122,-0.12802,0.10461,0.09894,0.05727,0.05969,0.11166,-0.05072,-0.05840
-0.07509,-0.10381,0.14670,0.09922,14.02747,14.50872,0.07023,-0.04356,-0.16536,-0.21176,0.10400,0.03085,0.09392,0.27431,0.04060,0.05162,-0.00716,-0.09476,-0.09613,0.01486,-0.00966,0.01599,0.05246,0.10318,-0.00203,-0.02516
-0.04036,-0.10236,0.09075,0.16881,11.76229,14.33067,0.07787,-0.14584,-0.14944,-0.11160,-0.01009,-0.02383,0.12173,0.09122,0.11086,-0.00255,0.04286,-0.09084,-0.08966,-0.00566,-0.00906,0.06509,0.08482,0.26524,0.10005,-0.05502
-0.02698,-0.11421,0.20393,0.10347,13.76975,14.48381,0.04259,-0.01874,-0.31692,-0.10748,-0.18937,0.16611,0.19708,0.19441,0.05098,-0.02520,-0.01452,-0.03235,-0.07807,0.02435,0.05386,0.05046,0.19632,0.16944,0.04796,-0.08057
-0.08394,-0.10280,0.10648,0.16649,13.34556,15.35227,0.10628,0.08004,-0.10871,-0.04948,-0.02383,0.07056,0.14357,0.08174,0.13370,-0.02032,0.07237,-0.08836,-0.07562,0.02289,0.07764,-0.07337,0.16260,0.27057,0.04176,-0.09031
